name	psnr_uc
chinese_hackberry_bark	28.9434
aerial_mud_1	29.7089
brown_mud_03	27.6355
aerial_beach_02	30.1265
forrest_ground_03	25.6204
crepe_georgette	28.8276
concrete_wall_006	28.8107
concrete_floor_02	29.2835
mixed_rock_tiles	29.3549
grey_plaster_03	31.3701
large_square_pattern_01	31.0799
granular_concrete	28.9812
rock_wall_11	26.4940
random_bricks_thick	26.3805
patterned_brick_floor	28.2288
rock_embedded_floor	31.0058
wood_trunk_wall	29.4418
stacked_stone_wall	24.5747
terrain_red_01	27.0278
rocks_ground_08	27.0232
