name	psnr_uc
aerial_beach_02	31.2155
aerial_mud_1	30.0533
chinese_hackberry_bark	34.1633
brown_mud_03	27.2463
crepe_georgette	26.3830
concrete_wall_006	30.2136
forrest_ground_03	25.5889
concrete_floor_02	29.8070
large_square_pattern_01	29.9453
grey_plaster_03	33.1894
mixed_rock_tiles	33.0962
granular_concrete	30.1525
rock_embedded_floor	30.8063
random_bricks_thick	25.9109
rock_wall_11	27.0223
patterned_brick_floor	29.2890
terrain_red_01	26.8801
wood_trunk_wall	28.1505
stacked_stone_wall	23.8352
rocks_ground_08	25.9906
