name	psnr_uc
aerial_beach_02	29.9113
aerial_mud_1	29.1848
brown_mud_03	27.8668
chinese_hackberry_bark	28.8479
concrete_floor_02	29.0373
concrete_wall_006	30.4648
crepe_georgette	29.5478
forrest_ground_03	25.6457
granular_concrete	30.6764
grey_plaster_03	30.5571
large_square_pattern_01	29.1209
mixed_rock_tiles	28.8538
patterned_brick_floor	28.1673
random_bricks_thick	26.8118
rock_embedded_floor	30.8055
rock_wall_11	26.5731
rocks_ground_08	27.0603
stacked_stone_wall	24.1505
wood_trunk_wall	28.1399
terrain_red_01	28.1039
