name	psnr_uc
aerial_beach_02	29.1955
chinese_hackberry_bark	31.6346
aerial_mud_1	30.8425
brown_mud_03	27.5457
concrete_floor_02	29.1523
forrest_ground_03	25.1789
concrete_wall_006	28.4305
crepe_georgette	26.7561
granular_concrete	30.4984
grey_plaster_03	30.5364
mixed_rock_tiles	29.4332
large_square_pattern_01	29.4678
patterned_brick_floor	29.2452
random_bricks_thick	26.0648
rock_wall_11	26.6805
rock_embedded_floor	29.0466
rocks_ground_08	27.7791
stacked_stone_wall	24.9755
terrain_red_01	27.1832
wood_trunk_wall	27.6412
