name	psnr_uc
aerial_beach_02	29.0820
aerial_mud_1	27.9229
brown_mud_03	27.4987
chinese_hackberry_bark	31.3940
concrete_floor_02	27.9591
concrete_wall_006	29.2847
crepe_georgette	29.8151
forrest_ground_03	26.2527
granular_concrete	28.9837
grey_plaster_03	31.6678
large_square_pattern_01	29.3814
mixed_rock_tiles	30.4206
patterned_brick_floor	30.5033
random_bricks_thick	26.2051
rock_embedded_floor	28.6187
rock_wall_11	27.6072
rocks_ground_08	27.3142
stacked_stone_wall	24.5857
terrain_red_01	27.4279
wood_trunk_wall	27.4895
