name	psnr_uc
aerial_beach_02	27.4889
aerial_mud_1	28.8368
brown_mud_03	24.3173
chinese_hackberry_bark	29.3535
concrete_floor_02	26.7792
concrete_wall_006	23.7673
crepe_georgette	27.0422
forrest_ground_03	23.9451
granular_concrete	26.4184
grey_plaster_03	27.8227
large_square_pattern_01	25.7600
mixed_rock_tiles	26.5428
patterned_brick_floor	25.3267
random_bricks_thick	24.3104
rock_embedded_floor	27.5710
rock_wall_11	23.4084
rocks_ground_08	24.1788
stacked_stone_wall	23.8322
terrain_red_01	25.0647
wood_trunk_wall	25.6030
